User_Id,Sex,Sports_IF,MovieGenres_IF,MusicGenres_IF,Hobbies_IF,TravelPreferences_IF,FoodPreferences_IF,Books_IF,VideoGames_IF,OutdoorActivities_IF,LifestylePreferences_IF,Age
11,male,"Swimming, Football, Yoga, Badminton, Gymnastics, Running, Cricket, Basketball, Cycling","Sci-Fi, Drama, Fantasy, Mystery, Documentary",Rock,"Crafting, Dancing, Writing, Cooking",Cities,"Mexican, Mediterranean","Non-Fiction, Thriller, Romance, Self-help, Biographies",,"Hiking, Rock Climbing, Camping, Surfing","Minimalism, Tech Gadgets",40
12,male,,"Comedy, Documentary, Horror, Drama","Jazz, Blues",Photography,"Cultural Festivals, Mountains, Wildlife Safaris, Luxury Resorts, Historical Sites, Beaches, Adventure Sports","Japanese, Chinese, BBQ, Seafood, Mexican, Indian, Mediterranean","Self-help, Science Fiction, Fantasy, Romance, Biographies, Mystery, Thriller, Poetry","Puzzle, Fighting, RPG, Strategy, Sports, Indie, Adventure, Action, Simulation","Picnicking, Camping, Boating, Hiking, Stargazing","Tech Gadgets, Entrepreneurship, Fitness, Minimalism, Mindfulness, Sustainability",35
13,male,"Tennis, Football, Running",,"Classical, Jazz, Pop","Gardening, Cooking, Reading, Dancing, Writing, Knitting, Gaming, Crafting, Photography","Countryside, Road Trips, Adventure Sports, Beaches, Cities, Wildlife Safaris, Historical Sites",Seafood,"Fiction, Biographies, Fantasy, Mystery, Romance, Non-Fiction, Poetry","Indie, RPG","Hiking, Skiing, Rock Climbing, Picnicking, Fishing, Surfing, Camping, Stargazing, Boating, Bird Watching","DIY Projects, Sustainability, Socializing, Entrepreneurship, Minimalism, Mindfulness, Volunteering, Fitness",27
14,male,"Tennis, Gymnastics, Badminton, Cricket, Football","Mystery, Horror","Jazz, Classical, Country","Knitting, Painting, Crafting, Reading, Dancing, Gaming","Cultural Festivals, Countryside, Adventure Sports, Luxury Resorts, Cities, Mountains","Vegan, Desserts, Mexican, Chinese, Japanese, BBQ, Mediterranean",Poetry,"Indie, Sports, Simulation, Adventure, RPG, Action","Rock Climbing, Boating, Bird Watching, Fishing, Hiking, Camping, Skiing, Surfing, Stargazing","DIY Projects, Fitness, Sustainability, Mindfulness, Tech Gadgets, Socializing, Minimalism, Fashion",36
15,male,"Yoga, Gymnastics, Cricket, Cycling, Football, Badminton","Horror, Comedy, Documentary, Animated, Fantasy, Drama, Action, Sci-Fi, Mystery",Rock,"Gaming, Gardening, Crafting, Photography, Cooking, Knitting","Mountains, Road Trips, Beaches, Cities, Countryside, Luxury Resorts, Adventure Sports, Cultural Festivals, Historical Sites","Mexican, Japanese, Chinese",Science Fiction,"Puzzle, FPS, Fighting, Simulation, Strategy, RPG, Sports, Action, Indie","Stargazing, Picnicking, Hiking, Camping, Rock Climbing, Boating, Surfing, Bird Watching, Skiing, Fishing","Tech Gadgets, Fitness, Minimalism, Entrepreneurship, Mindfulness, Socializing",33
16,male,"Cricket, Yoga, Football, Gymnastics","Fantasy, Romance","Pop, Rock, Reggae, Classical, Folk, Hip-hop, Blues, Jazz","Reading, Gardening",,"BBQ, Desserts, Italian, Indian","Fiction, Romance, Fantasy, Poetry","Strategy, FPS, Action, Puzzle, Adventure, Sports, Indie, Fighting","Camping, Stargazing, Hiking, Boating, Bird Watching, Surfing, Rock Climbing","Minimalism, Volunteering, Sustainability, Fashion, Tech Gadgets, Fitness, Entrepreneurship",23
17,male,"Tennis, Running, Gymnastics, Cycling, Swimming, Badminton",,"EDM, Pop, Jazz, Reggae, Blues, Hip-hop","Cooking, Reading, Gardening, Gaming","Adventure Sports, Road Trips, Wildlife Safaris, Luxury Resorts","Seafood, Vegan, BBQ, Japanese, Desserts, Mexican, Mediterranean, Indian",,"Strategy, Indie, Fighting, Simulation, Puzzle, Adventure, Action, FPS, Sports, RPG","Surfing, Stargazing, Picnicking",,22
18,male,"Basketball, Yoga, Gymnastics, Tennis, Cycling, Running, Badminton, Football, Swimming","Comedy, Fantasy, Documentary, Romance","EDM, Pop, Classical, Folk, Reggae, Jazz, Blues","Writing, Painting, Gardening","Wildlife Safaris, Beaches, Road Trips, Cities, Historical Sites, Countryside, Cultural Festivals, Mountains","Desserts, BBQ, Italian, Vegan, Seafood, Mexican","Romance, Fantasy, Fiction, Self-help",,"Picnicking, Fishing, Surfing, Bird Watching, Hiking, Stargazing, Boating, Rock Climbing, Skiing, Camping","Socializing, Volunteering, Entrepreneurship, Fitness, DIY Projects, Mindfulness, Sustainability, Minimalism",28
19,male,"Cycling, Swimming, Gymnastics, Badminton, Cricket, Football, Tennis","Documentary, Romance, Comedy, Fantasy, Action, Horror, Drama","Jazz, Blues, Pop, Rock, Hip-hop, Reggae, Folk, Classical, Country","Reading, Photography, Writing, Knitting, Cooking, Painting, Gaming, Crafting",Historical Sites,"Seafood, Vegan, Indian, Mexican, Mediterranean, Italian, Chinese",,"RPG, Action, Simulation, FPS, Indie",Fishing,"Tech Gadgets, Fitness, Volunteering, DIY Projects, Mindfulness",25
20,male,"Football, Gymnastics, Cycling","Drama, Romance, Animated, Horror, Documentary, Mystery, Action, Fantasy, Sci-Fi","Pop, Classical, Country, Jazz, Reggae, Hip-hop, Folk, Blues, Rock","Writing, Painting, Gaming",Adventure Sports,"Japanese, Seafood","Self-help, Non-Fiction, Biographies, Romance, Poetry, Fiction, Fantasy, Thriller, Mystery","Indie, Simulation, Sports, Adventure, Strategy, Puzzle",,"Tech Gadgets, Sustainability, Mindfulness, Socializing, Entrepreneurship, Volunteering, Fitness, Minimalism, DIY Projects",39
21,male,"Basketball, Cricket, Running, Football","Fantasy, Mystery","Folk, Hip-hop, Classical","Writing, Reading, Dancing, Photography, Cooking, Crafting","Countryside, Historical Sites, Wildlife Safaris, Cities, Road Trips, Mountains, Cultural Festivals, Beaches, Luxury Resorts, Adventure Sports","Indian, Mexican, Italian, Vegan, BBQ, Mediterranean, Seafood, Japanese, Desserts","Science Fiction, Non-Fiction, Fiction, Biographies","RPG, FPS, Indie, Strategy, Puzzle, Action, Sports","Stargazing, Fishing, Picnicking, Bird Watching, Boating","Mindfulness, Volunteering, Fitness, DIY Projects, Minimalism, Sustainability, Entrepreneurship",31
22,male,"Swimming, Gymnastics, Badminton, Basketball, Cycling, Running, Yoga, Cricket, Tennis, Football","Animated, Action, Fantasy",,"Gardening, Dancing, Knitting, Crafting, Photography, Cooking, Reading, Writing, Painting","Adventure Sports, Wildlife Safaris, Beaches","Chinese, BBQ, Seafood, Mediterranean, Indian, Vegan","Thriller, Fiction, Non-Fiction, Biographies, Science Fiction, Fantasy, Mystery, Romance","Simulation, Indie, Fighting, Strategy, Puzzle, Action","Surfing, Hiking, Camping, Fishing, Stargazing, Rock Climbing, Boating, Picnicking","Mindfulness, DIY Projects",31
23,male,"Cycling, Badminton, Gymnastics, Football, Cricket","Action, Fantasy, Comedy, Horror","Rock, Classical","Writing, Crafting",Luxury Resorts,"Chinese, Mediterranean",Fiction,,"Skiing, Stargazing, Hiking, Picnicking, Surfing, Rock Climbing","Entrepreneurship, Tech Gadgets, Minimalism, Socializing",32
24,male,"Cricket, Gymnastics, Swimming, Football, Basketball, Badminton, Cycling, Running, Tennis","Action, Sci-Fi, Fantasy, Animated, Drama","Reggae, Country, Rock","Reading, Gaming, Dancing, Writing, Crafting, Painting, Cooking",Cities,"Chinese, Seafood, Italian, Indian, Mediterranean, BBQ, Japanese, Mexican","Mystery, Fiction","Simulation, Sports, RPG, Puzzle, Indie, Action","Fishing, Skiing, Boating, Hiking, Camping, Rock Climbing",,31
25,male,"Gymnastics, Football, Swimming, Running, Badminton, Tennis, Yoga, Cycling",Mystery,"Reggae, Country",,"Adventure Sports, Luxury Resorts","Chinese, Indian, Mediterranean","Thriller, Romance, Mystery, Science Fiction, Poetry, Self-help","Indie, RPG, Adventure, Strategy, Sports, Fighting, Simulation",Rock Climbing,"Mindfulness, Minimalism, Fashion, Entrepreneurship, Fitness, Tech Gadgets, Socializing",27
26,male,"Running, Yoga, Basketball, Football, Tennis, Swimming","Documentary, Animated, Comedy, Mystery, Fantasy","Classical, Jazz, Rock","Crafting, Gaming, Photography, Painting, Reading, Dancing, Gardening, Knitting","Mountains, Road Trips, Historical Sites, Cultural Festivals","BBQ, Vegan","Thriller, Self-help, Non-Fiction, Biographies, Fantasy","RPG, Indie, Puzzle","Rock Climbing, Stargazing, Hiking, Camping","Tech Gadgets, Entrepreneurship, Fitness, Volunteering, Minimalism, Mindfulness",30
27,male,"Gymnastics, Tennis, Cycling, Football, Swimming, Running, Basketball, Badminton","Mystery, Sci-Fi, Drama, Action, Animated",,"Crafting, Photography, Writing, Knitting, Gardening, Dancing","Beaches, Road Trips, Luxury Resorts, Mountains, Adventure Sports","Chinese, Vegan, BBQ, Italian, Japanese, Mexican, Mediterranean","Self-help, Fantasy, Non-Fiction, Romance, Science Fiction, Poetry","Simulation, Sports, RPG, FPS, Adventure, Fighting, Action, Strategy, Indie, Puzzle","Stargazing, Boating, Fishing, Hiking, Rock Climbing, Picnicking, Skiing, Bird Watching, Surfing, Camping","Tech Gadgets, Fitness, Minimalism, DIY Projects, Volunteering, Socializing, Mindfulness",25
28,male,,Sci-Fi,Folk,"Knitting, Painting, Gardening, Crafting, Reading, Writing, Dancing, Photography",Cultural Festivals,"Desserts, Indian, Japanese, Vegan, Mediterranean","Poetry, Thriller, Fantasy, Science Fiction, Non-Fiction, Self-help, Fiction, Mystery, Romance","Fighting, Indie, Simulation, Sports, FPS, Puzzle, Strategy, RPG, Adventure, Action",,"Fitness, Volunteering, Sustainability, DIY Projects",28
29,male,"Basketball, Football, Tennis, Gymnastics, Cycling, Cricket","Animated, Horror, Romance, Sci-Fi, Documentary, Action, Mystery, Comedy, Fantasy","Reggae, Classical, Country, Jazz, Pop, Rock, Folk, Blues, EDM, Hip-hop","Gardening, Cooking, Crafting, Writing","Road Trips, Countryside, Cities, Wildlife Safaris, Beaches, Adventure Sports, Historical Sites, Luxury Resorts, Cultural Festivals","Vegan, Chinese, Desserts, Mexican, Indian","Fiction, Science Fiction, Biographies","Adventure, Indie, Simulation, Puzzle, Action, Sports","Stargazing, Hiking","Fitness, Minimalism, Socializing, Fashion, Entrepreneurship, Tech Gadgets, Sustainability, DIY Projects, Mindfulness, Volunteering",33
30,male,"Cycling, Badminton, Running, Football, Basketball, Tennis, Yoga, Swimming, Cricket, Gymnastics","Horror, Romance, Mystery, Animated, Fantasy, Documentary, Drama, Comedy, Action","Hip-hop, Pop, Country, Reggae, EDM, Folk, Classical, Blues, Jazz","Dancing, Gardening, Photography, Writing, Knitting, Reading, Gaming, Painting, Crafting","Luxury Resorts, Cultural Festivals, Road Trips","Italian, Chinese, Japanese, Indian, Desserts, Mexican","Non-Fiction, Science Fiction, Biographies, Mystery, Self-help, Poetry","Action, Strategy, FPS, RPG, Sports, Fighting",Surfing,"Minimalism, Socializing, Mindfulness, Volunteering, Sustainability, Entrepreneurship",22
31,male,,"Documentary, Fantasy, Horror, Romance, Drama, Comedy","Folk, Rock, Hip-hop, Classical, EDM, Pop, Country","Writing, Gaming",Mountains,,"Non-Fiction, Thriller, Biographies, Self-help, Science Fiction, Fiction",Fighting,Skiing,"Socializing, Volunteering, Fitness, Mindfulness, Minimalism, DIY Projects, Sustainability, Tech Gadgets, Fashion",34
32,male,"Tennis, Cricket, Cycling, Badminton","Fantasy, Mystery, Drama, Romance, Sci-Fi, Action, Documentary, Comedy, Animated, Horror","Jazz, Folk, Pop, Hip-hop, Reggae",,"Adventure Sports, Cultural Festivals, Wildlife Safaris, Luxury Resorts, Historical Sites, Countryside, Beaches","Mexican, Indian","Thriller, Fiction, Biographies, Poetry, Mystery, Non-Fiction, Science Fiction, Fantasy, Romance, Self-help","Strategy, FPS",,"Mindfulness, Volunteering, Sustainability",37
33,male,"Basketball, Football, Swimming, Running, Cricket, Tennis, Yoga","Mystery, Comedy, Horror, Sci-Fi, Fantasy","Blues, Hip-hop, Rock, Jazz, Folk, EDM, Classical, Pop, Reggae","Dancing, Photography, Gardening","Wildlife Safaris, Historical Sites, Cultural Festivals, Mountains, Road Trips, Cities, Beaches, Luxury Resorts, Countryside","Vegan, Indian, Mexican","Non-Fiction, Fantasy, Thriller, Science Fiction, Self-help, Mystery, Romance, Biographies, Fiction","Puzzle, Adventure, Sports, Indie, Simulation","Picnicking, Surfing, Hiking, Bird Watching, Skiing, Fishing","Mindfulness, Tech Gadgets, Socializing",37
34,male,"Football, Running, Cycling, Tennis, Gymnastics, Basketball, Yoga, Cricket, Swimming","Romance, Mystery, Animated, Documentary, Drama, Horror, Action, Comedy, Fantasy, Sci-Fi","Country, Reggae, Pop, Classical, Jazz, Blues","Reading, Dancing, Gaming, Crafting, Writing","Countryside, Wildlife Safaris, Road Trips, Cities, Luxury Resorts","Italian, Indian, Seafood, Desserts, BBQ, Chinese, Mediterranean","Poetry, Fiction, Fantasy","Indie, Puzzle, RPG, FPS, Fighting, Simulation, Adventure","Boating, Fishing, Skiing, Hiking, Surfing, Picnicking, Camping, Stargazing, Rock Climbing","Volunteering, Socializing",35
35,male,"Yoga, Cycling, Tennis, Running, Badminton, Basketball, Swimming, Football, Gymnastics, Cricket","Horror, Drama, Action","Jazz, Classical","Cooking, Gardening, Dancing, Writing, Crafting, Knitting, Gaming, Reading, Photography","Mountains, Historical Sites, Countryside, Adventure Sports, Cultural Festivals, Beaches, Road Trips, Cities, Wildlife Safaris","Seafood, Desserts",,"Simulation, Action, Fighting, Puzzle, Adventure, FPS, Sports","Hiking, Boating, Surfing, Stargazing, Skiing, Rock Climbing, Camping, Bird Watching, Picnicking, Fishing","Mindfulness, Sustainability",60
36,male,"Yoga, Tennis, Badminton, Running, Swimming, Gymnastics, Cycling, Basketball","Sci-Fi, Drama, Animated, Romance","Hip-hop, Jazz, EDM, Pop, Blues, Reggae, Classical","Cooking, Reading","Countryside, Luxury Resorts, Wildlife Safaris","Indian, Seafood, Desserts, Chinese, Mediterranean",Non-Fiction,"Sports, Indie, Adventure, Strategy, Action, FPS, RPG, Simulation",,"DIY Projects, Tech Gadgets, Fashion, Volunteering, Fitness, Entrepreneurship",24
37,male,"Basketball, Tennis, Gymnastics, Cycling, Running, Swimming, Badminton","Mystery, Documentary, Drama, Animated, Romance","Classical, Reggae, EDM, Jazz, Rock, Pop, Folk, Hip-hop, Blues, Country","Dancing, Painting, Cooking, Gardening, Reading, Writing, Crafting, Knitting, Photography, Gaming","Luxury Resorts, Historical Sites, Road Trips, Countryside, Adventure Sports, Mountains, Cultural Festivals","Seafood, Mexican, Desserts, Mediterranean, Italian, Japanese, Chinese, Indian, BBQ, Vegan","Romance, Science Fiction, Self-help, Poetry, Thriller",FPS,"Camping, Surfing, Bird Watching, Fishing, Skiing, Picnicking, Rock Climbing, Hiking","Fitness, Minimalism, Tech Gadgets",24
38,male,"Football, Cricket, Badminton, Gymnastics, Basketball, Tennis","Fantasy, Action, Comedy, Documentary","Rock, EDM, Hip-hop, Classical, Reggae, Jazz, Folk","Gardening, Dancing, Photography, Reading, Cooking, Knitting, Writing, Crafting, Painting","Adventure Sports, Countryside, Cities, Wildlife Safaris, Road Trips, Beaches","Mexican, Desserts, Mediterranean, Chinese, Italian, Indian","Romance, Mystery, Fiction","FPS, Strategy, Action","Skiing, Boating","Sustainability, Socializing, Mindfulness, Minimalism, Fashion, Entrepreneurship, Tech Gadgets, Volunteering",29
39,male,"Football, Swimming, Gymnastics, Badminton, Cycling","Comedy, Mystery, Romance, Sci-Fi, Drama, Action, Fantasy, Documentary, Animated","Country, Folk, Blues","Gardening, Painting, Photography","Road Trips, Adventure Sports, Beaches, Historical Sites, Cultural Festivals, Cities, Luxury Resorts, Wildlife Safaris, Mountains, Countryside","Vegan, Seafood, Chinese, Indian, Mexican, Japanese, Desserts, BBQ, Mediterranean","Fantasy, Fiction, Thriller, Non-Fiction, Mystery","Indie, Action, Sports, Strategy, Fighting","Fishing, Stargazing, Camping","Minimalism, Sustainability, Fashion, Tech Gadgets, Entrepreneurship",34
40,male,"Cricket, Yoga, Cycling, Gymnastics, Swimming, Running, Tennis, Football, Basketball, Badminton","Action, Animated, Horror, Comedy, Documentary, Mystery, Romance, Sci-Fi",,"Reading, Crafting, Gaming, Cooking, Writing, Photography, Dancing, Gardening, Knitting, Painting",,"Indian, BBQ, Chinese, Mediterranean, Seafood","Thriller, Mystery, Non-Fiction, Self-help, Fantasy, Fiction, Poetry, Biographies, Romance","Sports, RPG, Indie, Puzzle, Strategy, Action, Fighting","Fishing, Bird Watching, Camping, Picnicking, Rock Climbing, Skiing, Surfing, Stargazing, Boating, Hiking","Tech Gadgets, Sustainability, Socializing, Minimalism, Fitness, Volunteering, DIY Projects, Fashion, Mindfulness",43
41,male,"Cycling, Yoga, Tennis, Running, Swimming, Cricket","Animated, Romance, Fantasy, Sci-Fi, Action, Documentary, Drama",,"Reading, Painting, Photography, Gaming, Crafting, Dancing, Knitting, Cooking",,Mexican,"Romance, Poetry","Action, RPG, Simulation, Strategy, Adventure, FPS, Sports, Puzzle, Indie","Surfing, Stargazing, Hiking, Fishing, Bird Watching",Socializing,27
42,male,"Cricket, Tennis, Badminton, Gymnastics, Cycling, Yoga, Running, Basketball, Swimming","Comedy, Fantasy, Sci-Fi, Documentary, Mystery","Hip-hop, Country, Classical, Jazz, Folk, Reggae, EDM","Crafting, Knitting, Reading, Dancing, Gaming, Cooking, Painting, Gardening, Photography, Writing",,"Indian, BBQ, Desserts, Mediterranean, Japanese","Non-Fiction, Biographies, Fiction, Mystery","Simulation, FPS, Strategy, Fighting, Action, RPG, Indie, Sports",Surfing,"DIY Projects, Sustainability, Volunteering, Socializing, Fitness, Minimalism, Entrepreneurship, Tech Gadgets, Fashion",23
43,male,"Cycling, Cricket, Badminton, Tennis, Swimming, Football, Basketball, Yoga, Gymnastics, Running","Action, Horror","Reggae, Hip-hop, Folk, Pop, Rock, Blues, Country","Gaming, Photography, Writing","Beaches, Wildlife Safaris","Desserts, Chinese","Science Fiction, Thriller, Romance, Mystery, Self-help, Fantasy, Biographies, Poetry","Adventure, FPS","Surfing, Hiking, Rock Climbing, Bird Watching, Boating, Picnicking, Fishing, Skiing","Volunteering, Fashion, Mindfulness",24
44,male,"Yoga, Basketball","Drama, Sci-Fi, Action, Fantasy, Animated, Mystery, Comedy, Documentary","Folk, Classical, Country, Hip-hop, Jazz, EDM, Pop, Reggae, Blues, Rock","Photography, Knitting, Writing, Gaming, Painting, Reading, Dancing, Cooking, Crafting","Luxury Resorts, Mountains, Road Trips, Beaches","Italian, Mediterranean, Seafood, Desserts, Japanese, BBQ, Indian, Mexican, Vegan, Chinese","Fiction, Romance, Mystery, Self-help, Poetry","Indie, Puzzle, Action",,"Entrepreneurship, Minimalism, Volunteering, Tech Gadgets, Mindfulness, DIY Projects, Socializing, Sustainability, Fitness, Fashion",34
45,male,"Gymnastics, Football, Tennis, Yoga, Cycling, Badminton","Drama, Comedy, Horror, Animated, Romance, Sci-Fi, Mystery",Blues,"Crafting, Writing, Knitting, Painting, Reading","Luxury Resorts, Beaches, Mountains, Countryside, Historical Sites, Adventure Sports, Wildlife Safaris, Cities, Cultural Festivals","Vegan, Mexican, Indian, Desserts, Italian, Japanese",Fantasy,"Strategy, Action, Simulation, Puzzle, Fighting, Indie, FPS, Adventure","Surfing, Hiking","Minimalism, Volunteering, Sustainability, Fitness, DIY Projects, Mindfulness, Socializing, Tech Gadgets, Entrepreneurship, Fashion",22
46,male,"Football, Cricket, Gymnastics, Yoga, Cycling, Tennis, Basketball, Swimming, Badminton, Running","Fantasy, Animated, Mystery, Comedy, Horror, Action, Sci-Fi","Hip-hop, Classical, Folk, Blues, Pop","Gardening, Crafting, Painting, Photography, Gaming, Writing","Cultural Festivals, Countryside, Road Trips, Adventure Sports, Wildlife Safaris, Mountains, Cities","Mediterranean, Mexican, BBQ","Poetry, Thriller, Fantasy, Self-help, Non-Fiction, Science Fiction, Mystery, Romance, Fiction","Puzzle, Indie, FPS, Fighting, Strategy, Adventure, Sports, RPG, Simulation",,,23
47,male,"Badminton, Tennis, Cycling, Basketball, Cricket, Swimming, Running, Yoga","Sci-Fi, Drama",Pop,"Knitting, Photography, Dancing","Road Trips, Cities","Desserts, Chinese, Mediterranean, Italian","Non-Fiction, Thriller, Biographies, Romance, Poetry, Mystery, Self-help, Fantasy","Fighting, RPG, Puzzle, Indie, FPS, Adventure, Action, Simulation, Sports, Strategy","Bird Watching, Picnicking",,24
48,male,"Yoga, Swimming","Romance, Sci-Fi, Horror, Drama",,"Photography, Writing, Knitting, Painting",,,"Mystery, Poetry, Fiction, Biographies, Fantasy, Self-help, Thriller","Puzzle, Action, Sports, Strategy, Simulation, Fighting",,"Socializing, Volunteering, Mindfulness, DIY Projects, Sustainability, Minimalism, Fashion, Fitness",29
49,male,"Football, Tennis, Yoga","Fantasy, Comedy, Documentary, Romance, Action, Animated, Sci-Fi, Mystery, Horror",,"Painting, Cooking, Photography, Gardening","Cultural Festivals, Wildlife Safaris, Beaches, Road Trips, Luxury Resorts, Historical Sites, Cities","Chinese, Desserts, Japanese, Mediterranean, BBQ, Seafood","Science Fiction, Romance, Biographies, Thriller, Poetry","Strategy, Sports, Simulation, Adventure, RPG","Bird Watching, Boating, Rock Climbing, Stargazing, Camping","Volunteering, Entrepreneurship, Fitness, Tech Gadgets, Sustainability, Minimalism, Socializing, Mindfulness, DIY Projects, Fashion",26
50,male,"Running, Yoga, Swimming, Badminton, Tennis, Basketball, Gymnastics, Cycling","Romance, Drama, Animated, Mystery","Hip-hop, Pop","Gardening, Crafting, Cooking, Knitting, Writing, Painting, Reading, Gaming, Photography, Dancing",,"Mexican, Seafood, Desserts, BBQ, Vegan, Indian, Mediterranean, Japanese, Italian, Chinese","Non-Fiction, Biographies, Science Fiction, Romance, Fiction, Poetry, Thriller, Self-help","Indie, Sports, Simulation, RPG, Action, Fighting, Puzzle, Adventure","Bird Watching, Surfing","Tech Gadgets, Minimalism, Volunteering, Fitness, DIY Projects",33
